Pixel	Original Data	fitted Data	
116.0	8847.86	5628.8782873	
117.0	8743.04	2562.75587285	
118.0	8698.99	1022.39485148	
119.0	8596.36	357.401283031	
120.0	8539.02	109.476170599	
121.0	8577.24	29.3838788772	
122.0	8562.14	6.91074215832	
123.0	8423.14	1.42418461897	
124.0	8456.34	0.257178068126	
125.0	8389.08	0.0406937399284	
126.0	8140.84	0.00564218494494	
127.0	8241.61	0.000685477284102	
128.0	8129.28	7.29734457816e-05	
129.0	7983.73	6.80710857266e-06	
130.0	8101.59	5.56399253017e-07	
131.0	8078.2	3.98507441839e-08	
132.0	7986.53	2.50099239218e-09	
133.0	7991.9	1.37535351705e-10	
134.0	7883.76	6.62738729847e-12	
135.0	7878.99	2.79831368822e-13	
136.0	7868.81	1.03532447221e-14	
137.0	7798.54	3.3564686833e-16	
138.0	7692.35	9.53486956336e-18	
139.0	7768.75	2.37341099613e-19	
140.0	7681.84	5.17674986701e-21	
141.0	7606.72	9.89389845939e-23	
142.0	7597.95	1.65692844557e-24	
143.0	7454.91	2.43145421316e-26	
144.0	7382.89	3.12647150421e-28	
145.0	7411.35	3.52264509742e-30	
146.0	7403.13	3.47783796226e-32	
147.0	7321.42	3.00867885433e-34	
148.0	7357.08	2.28070104089e-36	
149.0	7250.82	1.51491032243e-38	
150.0	7183.65	8.81721693106e-41	
151.0	7148.21	4.49678541862e-43	
152.0	7147.21	2.00955010521e-45	
153.0	7060.56	7.86903634703e-48	
154.0	6853.63	2.70004063656e-50	
155.0	6974.3	8.11792597303e-53	
156.0	6776.67	2.13868050125e-55	
157.0	6738.25	4.93710962069e-58	
158.0	6752.23	9.98678424387e-61	
159.0	6741.56	1.77012771411e-63	
160.0	6751.72	2.74922049595e-66	
161.0	6705.55	3.74145547527e-69	
162.0	6632.96	4.46167186362e-72	
163.0	6521.6	4.66209059978e-75	
164.0	6562.62	4.26864293628e-78	
165.0	6455.62	3.42471932839e-81	
166.0	6407.95	2.40761022053e-84	
167.0	6255.04	1.48311015556e-87	
168.0	6319.33	8.00546708459e-91	
169.0	6251.27	3.78639554702e-94	
170.0	6229.13	1.5692470548e-97	
171.0	6148.48	5.69879061967e-101	
172.0	6057.66	1.81342716164e-104	
173.0	6113.66	5.05642498859e-108	
174.0	6023.28	1.23541553603e-111	
175.0	5939.35	2.64489591079e-115	
176.0	5957.77	4.96169596582e-119	
177.0	5793.47	8.15600999795e-123	
178.0	5758.6	1.17476604995e-126	
179.0	5756.86	1.48269240149e-130	
180.0	5771.72	1.63974673048e-134	
181.0	5602.75	1.58901692273e-138	
182.0	5628.0	1.349293127e-142	
183.0	5552.37	1.00394548509e-146	
184.0	5520.47	6.54545725106e-151	
185.0	5387.45	3.76931897554e-155	
186.0	5407.42	1.67356734621e-150	
187.0	5407.07	6.72636262315e-144	
188.0	5334.84	1.94586059187e-137	
189.0	5375.81	4.05170232773e-131	
190.0	5205.7	6.07236266494e-125	
191.0	5182.42	6.55046656356e-119	
192.0	5195.54	5.0860559005e-113	
193.0	5092.43	2.84239471152e-107	
194.0	4926.82	1.14335739751e-101	
195.0	5132.37	3.3103505646e-96	
196.0	4998.31	6.89858995765e-91	
197.0	4906.69	1.03476335011e-85	
198.0	4939.6	1.1171618764e-80	
199.0	4904.27	8.68131545709e-76	
200.0	4817.88	4.85567186896e-71	
201.0	4828.64	1.95482320706e-66	
202.0	4796.52	5.66447942765e-62	
203.0	4679.19	1.18142697797e-57	
204.0	4675.57	1.7735691502e-53	
205.0	4604.99	1.91638926945e-49	
206.0	4574.48	1.49043725323e-45	
207.0	4611.43	8.34330319547e-42	
208.0	4573.05	3.36168268604e-38	
209.0	4489.36	9.74921775811e-35	
210.0	4471.8	2.03505985255e-31	
211.0	4460.11	3.05758799608e-28	
212.0	4438.54	3.30655008169e-25	
213.0	4456.41	2.57374554313e-22	
214.0	4426.05	1.44195089991e-19	
215.0	4344.78	5.81473195365e-17	
216.0	4382.33	1.6877312384e-14	
217.0	4471.58	3.52591014533e-12	
218.0	4462.41	5.3019246874e-10	
219.0	4685.64	5.73839224017e-08	
220.0	4763.46	4.47034734438e-06	
221.0	5164.21	0.000250660943276	
222.0	5887.89	0.0101164102422	
223.0	6909.16	0.293873589607	
