Pixel	Wavelength	
318.0	455.413702826	
319.0	455.643297892	
320.0	455.87289226	
321.0	456.102485931	
322.0	456.332078903	
323.0	456.561671177	
324.0	456.791262754	
325.0	457.020853632	
326.0	457.250443813	
327.0	457.480033295	
328.0	457.70962208	
329.0	457.939210166	
330.0	458.168797555	
331.0	458.398384245	
332.0	458.627970238	
333.0	458.857555532	
334.0	459.087140129	
335.0	459.316724028	
336.0	459.546307228	
337.0	459.775889731	
338.0	460.005471536	
339.0	460.235052642	
340.0	460.464633051	
341.0	460.694212762	
342.0	460.923791774	
343.0	461.153370089	
344.0	461.382947706	
345.0	461.612524625	
346.0	461.842100846	
347.0	462.071676369	
348.0	462.301251193	
349.0	462.53082532	
350.0	462.760398749	
351.0	462.98997148	
352.0	463.219543513	
353.0	463.449114848	
354.0	463.678685485	
355.0	463.908255424	
356.0	464.137824665	
357.0	464.367393208	
358.0	464.596961053	
359.0	464.826528201	
360.0	465.05609465	
361.0	465.285660401	
362.0	465.515225454	
363.0	465.744789809	
364.0	465.974353466	
365.0	466.203916426	
366.0	466.433478687	
367.0	466.66304025	
368.0	466.892601115	
369.0	467.122161283	
370.0	467.351720752	
371.0	467.581279523	
372.0	467.810837597	
373.0	468.040394972	
374.0	468.269951649	
375.0	468.499507629	
376.0	468.72906291	
377.0	468.958617494	
378.0	469.188171379	
379.0	469.417724567	
380.0	469.647277056	
381.0	469.876828848	
382.0	470.106379941	
383.0	470.335930337	
384.0	470.565480035	
385.0	470.795029034	
386.0	471.024577336	
387.0	471.25412494	
388.0	471.483671845	
389.0	471.713218053	
390.0	471.942763563	
391.0	472.172308374	
392.0	472.401852488	
393.0	472.631395904	
394.0	472.860938622	
395.0	473.090480642	
396.0	473.320021963	
397.0	473.549562587	
398.0	473.779102513	
399.0	474.008641741	
400.0	474.238180271	
401.0	474.467718103	
402.0	474.697255237	
403.0	474.926791673	
404.0	475.156327411	
405.0	475.385862451	
406.0	475.615396793	
407.0	475.844930437	
408.0	476.074463383	
409.0	476.303995631	
410.0	476.533527181	
411.0	476.763058033	
412.0	476.992588187	
413.0	477.222117644	
414.0	477.451646402	
415.0	477.681174462	
416.0	477.910701824	
417.0	478.140228489	
418.0	478.369754455	
419.0	478.599279723	
420.0	478.828804293	
421.0	479.058328166	
422.0	479.28785134	
423.0	479.517373817	
424.0	479.746895595	
425.0	479.976416675	
426.0	480.205937058	
427.0	480.435456742	
428.0	480.664975729	
429.0	480.894494017	
430.0	481.124011608	
431.0	481.3535285	
432.0	481.583044695	
433.0	481.812560191	
434.0	482.04207499	
435.0	482.271589091	
436.0	482.501102493	
437.0	482.730615198	
438.0	482.960127205	
439.0	483.189638513	
440.0	483.419149124	
441.0	483.648659037	
442.0	483.878168251	
443.0	484.107676768	
444.0	484.337184587	
445.0	484.566691708	
446.0	484.796198131	
447.0	485.025703855	
448.0	485.255208882	
449.0	485.484713211	
450.0	485.714216842	
451.0	485.943719775	
452.0	486.17322201	
453.0	486.402723547	
454.0	486.632224386	
455.0	486.861724527	
456.0	487.09122397	
457.0	487.320722715	
458.0	487.550220762	
459.0	487.779718111	
460.0	488.009214762	
461.0	488.238710716	
462.0	488.468205971	
463.0	488.697700528	
464.0	488.927194387	
465.0	489.156687548	
466.0	489.386180011	
467.0	489.615671777	
468.0	489.845162844	
469.0	490.074653213	
470.0	490.304142885	
471.0	490.533631858	
472.0	490.763120133	
473.0	490.992607711	
474.0	491.22209459	
475.0	491.451580771	
476.0	491.681066255	
477.0	491.91055104	
478.0	492.140035128	
479.0	492.369518517	
480.0	492.599001209	
481.0	492.828483202	
482.0	493.057964498	
483.0	493.287445095	
484.0	493.516924995	
485.0	493.746404197	
486.0	493.9758827	
487.0	494.205360506	
488.0	494.434837614	
489.0	494.664314023	
490.0	494.893789735	
491.0	495.123264749	
492.0	495.352739064	
493.0	495.582212682	
494.0	495.811685602	
495.0	496.041157824	
496.0	496.270629348	
497.0	496.500100173	
498.0	496.729570301	
499.0	496.959039731	
500.0	497.188508463	
501.0	497.417976497	
502.0	497.647443833	
503.0	497.876910471	
504.0	498.106376411	
505.0	498.335841653	
506.0	498.565306197	
507.0	498.794770043	
508.0	499.024233191	
509.0	499.253695641	
510.0	499.483157393	
511.0	499.712618447	
512.0	499.942078803	
513.0	500.171538462	
514.0	500.400997422	
515.0	500.630455684	
516.0	500.859913248	
517.0	501.089370115	
518.0	501.318826283	
519.0	501.548281753	
520.0	501.777736525	
521.0	502.0071906	
522.0	502.236643976	
523.0	502.466096654	
524.0	502.695548635	
525.0	502.924999917	
526.0	503.154450502	
527.0	503.383900388	
528.0	503.613349576	
529.0	503.842798067	
530.0	504.072245859	
531.0	504.301692954	
532.0	504.531139351	
533.0	504.760585049	
534.0	504.99003005	
535.0	505.219474352	
536.0	505.448917957	
537.0	505.678360864	
538.0	505.907803072	
539.0	506.137244583	
540.0	506.366685396	
541.0	506.59612551	
542.0	506.825564927	
543.0	507.055003646	
544.0	507.284441667	
545.0	507.513878989	
546.0	507.743315614	
547.0	507.972751541	
548.0	508.20218677	
549.0	508.431621301	
550.0	508.661055134	
551.0	508.890488269	
552.0	509.119920706	
553.0	509.349352444	
554.0	509.578783485	
555.0	509.808213828	
556.0	510.037643473	
557.0	510.267072421	
558.0	510.49650067	
559.0	510.725928221	
560.0	510.955355074	
561.0	511.184781229	
562.0	511.414206686	
563.0	511.643631445	
564.0	511.873055506	
565.0	512.10247887	
566.0	512.331901535	
567.0	512.561323502	
568.0	512.790744771	
569.0	513.020165343	
570.0	513.249585216	
571.0	513.479004391	
572.0	513.708422868	
573.0	513.937840648	
574.0	514.167257729	
575.0	514.396674113	
576.0	514.626089798	
577.0	514.855504785	
578.0	515.084919075	
579.0	515.314332666	
580.0	515.54374556	
581.0	515.773157755	
582.0	516.002569253	
583.0	516.231980052	
584.0	516.461390154	
585.0	516.690799558	
586.0	516.920208263	
587.0	517.149616271	
588.0	517.379023581	
589.0	517.608430192	
590.0	517.837836106	
591.0	518.067241322	
592.0	518.296645839	
593.0	518.526049659	
594.0	518.755452781	
595.0	518.984855205	
596.0	519.21425693	
597.0	519.443657958	
598.0	519.673058288	
599.0	519.90245792	
600.0	520.131856854	
601.0	520.36125509	
602.0	520.590652628	
603.0	520.820049468	
604.0	521.04944561	
605.0	521.278841054	
606.0	521.5082358	
607.0	521.737629848	
608.0	521.967023198	
609.0	522.19641585	
610.0	522.425807804	
611.0	522.65519906	
612.0	522.884589618	
613.0	523.113979478	
614.0	523.34336864	
615.0	523.572757105	
616.0	523.802144871	
617.0	524.031531939	
618.0	524.260918309	
619.0	524.490303982	
620.0	524.719688956	
621.0	524.949073232	
622.0	525.178456811	
623.0	525.407839691	
624.0	525.637221873	
625.0	525.866603358	
626.0	526.095984144	
627.0	526.325364232	
628.0	526.554743623	
629.0	526.784122315	
630.0	527.01350031	
631.0	527.242877606	
632.0	527.472254205	
633.0	527.701630105	
634.0	527.931005308	
635.0	528.160379813	
636.0	528.389753619	
637.0	528.619126728	
638.0	528.848499138	
639.0	529.077870851	
640.0	529.307241866	
641.0	529.536612183	
642.0	529.765981801	
643.0	529.995350722	
644.0	530.224718945	
645.0	530.45408647	
646.0	530.683453296	
647.0	530.912819425	
648.0	531.142184856	
649.0	531.371549589	
650.0	531.600913624	
651.0	531.830276961	
652.0	532.0596396	
653.0	532.289001541	
654.0	532.518362784	
655.0	532.747723329	
656.0	532.977083176	
657.0	533.206442325	
658.0	533.435800776	
659.0	533.665158529	
660.0	533.894515584	
661.0	534.123871941	
662.0	534.3532276	
663.0	534.582582561	
664.0	534.811936824	
665.0	535.041290389	
666.0	535.270643257	
667.0	535.499995426	
668.0	535.729346897	
669.0	535.95869767	
670.0	536.188047746	
671.0	536.417397123	
672.0	536.646745802	
673.0	536.876093784	
674.0	537.105441067	
675.0	537.334787652	
676.0	537.56413354	
677.0	537.793478729	
678.0	538.022823221	
679.0	538.252167014	
680.0	538.48151011	
681.0	538.710852507	
682.0	538.940194207	
683.0	539.169535208	
684.0	539.398875512	
685.0	539.628215117	
686.0	539.857554025	
687.0	540.086892234	
688.0	540.316229746	
689.0	540.54556656	
690.0	540.774902675	
691.0	541.004238093	
692.0	541.233572813	
693.0	541.462906835	
694.0	541.692240158	
695.0	541.921572784	
696.0	542.150904712	
697.0	542.380235942	
698.0	542.609566474	
699.0	542.838896307	
700.0	543.068225443	
701.0	543.297553881	
702.0	543.526881621	
703.0	543.756208663	
704.0	543.985535007	
705.0	544.214860653	
706.0	544.444185601	
707.0	544.673509851	
708.0	544.902833403	
709.0	545.132156257	
710.0	545.361478413	
711.0	545.590799871	
712.0	545.820120631	
713.0	546.049440694	
714.0	546.278760058	
715.0	546.508078724	
716.0	546.737396692	
717.0	546.966713962	
718.0	547.196030535	
719.0	547.425346409	
720.0	547.654661585	
721.0	547.883976063	
722.0	548.113289844	
723.0	548.342602926	
724.0	548.57191531	
725.0	548.801226997	
726.0	549.030537985	
727.0	549.259848276	
728.0	549.489157868	
729.0	549.718466762	
730.0	549.947774959	
731.0	550.177082457	
732.0	550.406389258	
733.0	550.63569536	
734.0	550.865000765	
735.0	551.094305472	
736.0	551.32360948	
737.0	551.552912791	
738.0	551.782215403	
739.0	552.011517318	
740.0	552.240818535	
741.0	552.470119053	
742.0	552.699418874	
743.0	552.928717997	
744.0	553.158016422	
745.0	553.387314148	
746.0	553.616611177	
747.0	553.845907508	
748.0	554.075203141	
749.0	554.304498076	
750.0	554.533792313	
751.0	554.763085851	
752.0	554.992378692	
753.0	555.221670835	
